0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/PS3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/rameur-concept.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/Red_dead_redemption.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/robe.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/samsung_galaxy_note_8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/samsung-s8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/samsungs9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/ShengShou_Puzzle_cube.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/skirt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/Swarovski_Pendentif_Iconic_Swan.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/tapis-de-course.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/television.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/tapis-de-sol.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/Thomas_Sabo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/tente-de-jardin.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:12:26:23 +0200] "GET /Projet_jee/images/Tuyau-extensible.jpg HTTP/1.1" 304 -
